,pm10,pm25,so2,co,o3,no2,categori
211,34.0,57.0,39.0,7.0,47.0,8.0,SEDANG
212,37.0,56.0,25.0,8.0,39.0,8.0,SEDANG
213,16.0,29.0,19.0,6.0,46.0,6.0,BAIK
214,17.0,28.0,33.0,7.0,23.0,6.0,BAIK
215,26.0,51.0,37.0,10.0,18.0,5.0,SEDANG
216,14.0,23.0,31.0,9.0,19.0,2.0,BAIK
217,17.0,40.0,31.0,9.0,17.0,3.0,BAIK
218,23.0,44.0,32.0,10.0,17.0,3.0,BAIK
219,36.0,60.0,38.0,12.0,19.0,4.0,SEDANG
220,27.0,54.0,37.0,10.0,26.0,9.0,SEDANG
221,25.0,28.0,30.0,8.0,35.0,12.0,BAIK
222,46.0,66.0,31.0,18.0,34.0,16.0,SEDANG
223,30.0,53.0,29.0,14.0,35.0,14.0,SEDANG
224,40.0,63.0,29.0,15.0,37.0,16.0,SEDANG
225,22.0,49.0,33.0,9.0,40.0,17.0,BAIK
226,65.0,89.0,14.0,54.0,13.0,41.98867824850422,SEDANG
227,52.0,73.0,14.0,38.0,17.0,31.880985244109596,SEDANG
228,47.0,57.0,14.0,31.0,9.0,29.096219186071536,SEDANG
229,54.0,73.0,14.0,34.0,13.0,31.188071426457824,SEDANG
230,39.0,58.0,15.0,46.0,14.0,34.58562011982725,SEDANG
231,45.0,67.0,15.0,34.0,22.0,3.0,SEDANG
232,54.0,70.0,15.0,70.0,14.0,24.0,SEDANG
233,51.0,72.0,15.0,68.0,20.0,15.0,SEDANG
234,55.0,67.0,15.0,46.0,13.0,22.0,SEDANG
235,47.0,67.0,34.0,11.0,20.0,42.0,SEDANG
236,58.0,80.0,35.0,15.0,17.0,43.0,SEDANG
237,37.0,48.0,43.0,8.0,3.0,56.0,SEDANG
238,50.0,66.0,44.0,7.0,11.0,55.0,SEDANG
239,42.0,52.0,43.0,10.0,10.0,57.0,SEDANG
240,57.0,78.0,43.0,17.0,5.0,54.0,SEDANG
241,47.0,60.0,44.0,7.0,6.0,57.0,SEDANG
242,50.0,65.0,46.0,8.0,5.0,29.142767436452285,SEDANG
243,56.0,76.0,49.0,13.0,6.0,23.0,SEDANG
244,32.0,34.0,45.0,6.0,9.0,76.0,SEDANG
245,32.0,45.0,44.0,7.0,8.0,66.0,SEDANG
246,81.0,112.0,27.0,26.0,10.0,11.0,TIDAK SEHAT
247,70.0,97.0,27.0,20.0,15.0,8.0,SEDANG
248,49.0,70.0,27.0,30.0,13.0,11.0,SEDANG
249,86.0,116.0,28.0,34.0,11.0,9.0,TIDAK SEHAT
250,61.0,92.0,28.0,28.0,14.0,12.0,SEDANG
251,60.0,83.0,28.0,19.0,19.0,7.0,SEDANG
252,55.0,76.0,28.0,20.0,19.0,9.0,SEDANG
253,53.0,77.0,28.0,20.0,19.0,11.0,SEDANG
254,73.0,96.0,28.0,33.0,14.0,10.0,SEDANG
255,45.0,62.0,28.0,17.0,15.0,8.0,SEDANG
256,31.0,51.0,28.0,13.0,12.0,5.0,SEDANG
257,44.0,61.0,28.0,23.0,9.0,7.0,SEDANG
258,37.0,60.0,28.0,15.0,13.0,6.0,SEDANG
259,31.0,54.0,28.0,18.0,10.0,6.0,SEDANG
260,43.0,64.0,28.0,16.0,11.0,6.0,SEDANG
261,51.0,76.0,28.0,17.0,19.0,8.0,SEDANG
262,52.0,67.0,28.0,21.0,14.0,10.0,SEDANG
263,44.0,64.0,28.0,21.0,12.0,9.0,SEDANG
264,69.0,95.0,29.0,22.0,9.0,7.0,SEDANG
265,58.0,76.0,28.0,18.0,10.0,6.0,SEDANG
266,64.0,83.0,29.0,26.0,9.0,7.0,SEDANG
267,63.0,84.0,29.0,23.0,11.0,6.0,SEDANG
268,53.0,74.0,28.0,21.0,14.0,8.0,SEDANG
269,58.0,79.0,28.0,13.0,12.0,8.0,SEDANG
270,56.0,71.0,29.0,12.0,13.0,6.0,SEDANG
271,62.0,80.0,29.0,18.0,10.0,3.0,SEDANG
272,60.0,80.0,29.0,24.0,14.0,3.0,SEDANG
273,60.0,81.0,29.0,13.0,18.0,5.0,SEDANG
274,70.0,91.0,29.0,16.0,18.0,6.0,SEDANG
275,64.0,104.0,22.0,30.0,76.0,28.0,TIDAK SEHAT
276,72.0,120.0,23.0,35.0,69.0,32.0,TIDAK SEHAT
277,58.0,95.0,24.0,24.0,74.0,27.0,SEDANG
278,51.0,77.0,24.0,28.0,62.0,24.0,SEDANG
279,74.0,125.0,22.0,31.0,69.0,27.0,TIDAK SEHAT
280,55.0,83.0,24.0,22.0,55.0,15.0,SEDANG
281,52.0,77.0,24.0,20.0,71.0,12.0,SEDANG
282,45.0,73.0,25.0,18.0,77.0,13.0,SEDANG
283,41.0,68.0,27.0,15.0,60.0,10.0,SEDANG
284,57.0,85.0,24.0,25.0,62.0,17.0,SEDANG
285,35.0,58.0,24.0,17.0,62.0,15.0,SEDANG
286,25.0,51.0,22.0,14.0,74.0,8.0,SEDANG
287,35.0,61.0,24.0,23.0,62.0,16.0,SEDANG
288,28.0,55.0,22.0,15.0,79.0,8.0,SEDANG
289,30.0,54.0,23.0,20.0,62.0,14.0,SEDANG
290,23.0,53.0,25.0,17.0,60.0,11.0,SEDANG
291,41.0,71.0,23.0,18.0,77.0,14.0,SEDANG
292,44.0,69.0,23.0,21.0,67.0,18.0,SEDANG
293,34.0,61.0,25.0,18.0,57.0,19.0,SEDANG
294,57.0,90.0,27.0,25.0,59.0,19.0,SEDANG
295,68.0,60.0,23.0,20.0,67.0,15.0,SEDANG
296,56.0,85.0,24.0,26.0,56.0,22.0,SEDANG
297,56.0,75.0,16.0,21.0,29.0,44.0,SEDANG
