pm10,pm25,so2,co,o3,no2,categori
22,35,16,11,20,17,BAIK
29,47,14,13,18,18,BAIK
27,47,13,17,10,16,BAIK
28,51,18,16,11,18,SEDANG
24,28,10,17,17,26,BAIK
63,100,15,31,30,47,SEDANG
52,71,13,15,38,30,SEDANG
44,64,13,16,25,39,SEDANG
52,73,13,21,25,37,SEDANG
57,77,13,22,17,43,SEDANG
62,92,19,22,33,45,SEDANG
62,90,16,19,35,50,SEDANG
45,16,51,14,15,48,SEDANG
49,12,27,34,17,13,BAIK
55,69,25,28,8,6,SEDANG
59,72,26,21,8,7,SEDANG
46,58,26,21,6,7,SEDANG
49,61,26,25,8,5,SEDANG
39,56,26,22,6,4,SEDANG
27,34,55,6,15,17,SEDANG
26,33,55,5,16,17,SEDANG
32,46,55,5,17,21,SEDANG
26,52,54,6,15,19,SEDANG
31,55,55,5,17,19,SEDANG
26,34,54,4,19,26,SEDANG
70,111,55,22,28,82,TIDAK SEHAT
55,69,55,5,32,19,SEDANG
53,66,56,5,33,16,SEDANG
63,83,58,8,25,42,SEDANG
57,68,56,4,24,19,SEDANG
65,90,55,8,40,30,SEDANG
69,91,56,11,39,31,SEDANG
65,83,59,11,31,33,SEDANG
60,82,55,11,33,34,SEDANG
46,66,50,14,15,28,SEDANG
48,64,50,11,9,20,SEDANG
48,57,50,12,5,20,SEDANG
43,56,50,14,13,61,SEDANG
44,56,50,9,13,62,SEDANG
48,61,50,8,9,58,SEDANG
38,52,50,6,10,52,SEDANG
23,28,49,3,13,34,BAIK
29,25,50,4,12,40,BAIK
54,73,51,21,11,91,SEDANG
51,63,51,20,,79,SEDANG
41,55,52,7,15,38,SEDANG
54,68,51,9,16,44,SEDANG
,65,51,11,12,43,SEDANG
23,40,51,8,10,62,SEDANG
16,26,51,4,12,53,SEDANG
18,21,51,5,10,58,SEDANG
22,40,51,5,11,51,SEDANG
43,63,51,9,10,75,SEDANG
41,62,51,7,10,49,SEDANG
50,68,51,8,13,62,SEDANG
38,53,51,9,14,40,SEDANG
59,99,51,27,21,106,TIDAK SEHAT
54,73,51,10,25,31,SEDANG
44,61,51,8,23,29,SEDANG
44,68,51,13,19,54,SEDANG
57,84,52,15,18,37,SEDANG
63,90,51,23,18,72,SEDANG
56,16,51,13,20,29,SEDANG
37,55,26,18,5,3,SEDANG
31,47,26,18,6,2,BAIK
26,39,26,15,6,2,BAIK
30,30,26,16,6,3,BAIK
72,96,26,39,5,8,SEDANG
70,78,26,27,8,4,SEDANG
37,53,26,17,6,2,SEDANG
49,64,26,19,7,4,SEDANG
52,65,26,21,6,4,SEDANG
38,45,26,21,6,4,BAIK
24,31,26,17,5,3,BAIK
23,31,26,16,5,4,BAIK
30,51,26,17,4,3,SEDANG
53,67,27,20,4,3,SEDANG
43,59,27,19,3,4,SEDANG
48,67,27,21,4,4,SEDANG
70,122,27,40,8,11,TIDAK SEHAT
57,78,27,18,11,7,SEDANG
50,69,27,17,12,4,SEDANG
,93,27,23,9,7,SEDANG
64,92,27,25,8,9,SEDANG
90,128,27,27,12,10,TIDAK SEHAT
74,96,27,23,10,11,SEDANG
62,86,27,23,13,9,SEDANG
61,82,27,27,13,9,SEDANG
52,82,21,29,50,13,SEDANG
41,69,23,21,54,21,SEDANG
35,54,22,19,51,14,SEDANG
33,60,22,18,42,10,SEDANG
18,38,21,14,46,6,BAIK
18,34,23,13,49,6,BAIK
22,28,22,13,48,6,BAIK
17,28,22,12,46,4,BAIK
27,41,25,14,45,10,BAIK
56,92,25,36,48,18,SEDANG
42,60,20,24,57,9,SEDANG
30,56,21,15,51,10,SEDANG
40,64,22,17,53,13,SEDANG
35,61,21,18,57,16,SEDANG
32,45,23,16,43,9,BAIK
21,33,23,14,46,9,BAIK
26,39,23,12,45,7,BAIK
18,39,27,12,41,7,BAIK
21,50,23,14,34,6,BAIK
23,54,22,15,22,5,SEDANG
40,65,27,16,31,7,SEDANG
31,43,21,17,55,14,SEDANG
59,108,23,39,59,19,TIDAK SEHAT
54,83,25,19,74,16,SEDANG
42,64,30,18,65,15,SEDANG
51,81,25,23,58,22,SEDANG
56,86,24,23,59,25,SEDANG
63,109,27,26,61,22,TIDAK SEHAT
65,104,27,24,70,26,TIDAK SEHAT
60,87,24,25,68,21,SEDANG
57,94,22,28,79,22,SEDANG
52,78,23,22,61,20,SEDANG
52,78,25,21,70,20,SEDANG
49,75,23,22,83,22,SEDANG
47,70,30,14,45,13,SEDANG
51,75,23,26,59,17,SEDANG
49,72,23,20,68,15,SEDANG
44,66,24,17,72,12,SEDANG
47,75,24,18,73,17,SEDANG
47,63,15,19,26,34,SEDANG
54,75,14,18,27,30,SEDANG
58,85,13,24,30,43,SEDANG
62,87,14,24,25,50,SEDANG
60,88,14,27,22,47,SEDANG
59,82,15,18,26,38,SEDANG
64,92,16,20,23,42,SEDANG
63,87,19,18,20,47,SEDANG
62,93,16,18,22,44,SEDANG
56,84,19,12,30,27,SEDANG
52,74,18,11,28,27,SEDANG
53,75,18,10,28,27,SEDANG
52,64,16,8,25,25,SEDANG
61,85,18,10,28,39,SEDANG
62,78,14,20,26,40,SEDANG
