pm10,pm25,so2,co,o3,no2,categori
71,87,63,26,10,76,SEDANG
58,68,61,13,14,30,SEDANG
49,58,60,10,10,35,SEDANG
39,43,60,15,8,43,SEDANG
28,36,60,9,12,20,SEDANG
31,34,61,11,12,,SEDANG
36,49,72,10,11,9,SEDANG
33,48,23,11,12,13,BAIK
25,34,23,10,12,11,BAIK
62,87,11,28,33,47,SEDANG
60,87,14,25,26,41,SEDANG
51,70,10,34,29,43,SEDANG
44,60,8,25,,37,SEDANG
40,65,12,28,75,45,SEDANG
40,58,10,26,15,39,SEDANG
55,83,13,27,18,40,SEDANG
57,83,12,28,24,44,SEDANG
67,99,16,32,20,46,SEDANG
54,71,10,32,15,41,SEDANG
51,71,10,30,18,42,SEDANG
39,53,9,28,9,36,SEDANG
53,74,8,31,7,33,SEDANG
61,96,19,26,9,34,SEDANG
69,106,22,31,13,49,TIDAK SEHAT
76,109,12,28,13,40,TIDAK SEHAT
76,115,11,38,14,47,TIDAK SEHAT
52,68,9,25,9,32,SEDANG
38,61,10,28,16,36,SEDANG
44,62,13,28,19,40,SEDANG
46,64,16,26,16,36,SEDANG
32,48,13,24,17,31,BAIK
34,54,12,26,18,29,SEDANG
40,51,10,25,11,22,SEDANG
31,44,14,24,14,27,BAIK
40,55,13,26,14,29,SEDANG
50,,10,33,10,27,BAIK
30,42,9,25,9,24,BAIK
29,32,10,23,8,21,BAIK
27,40,10,22,7,16,BAIK
62,88,59,15,29,31,SEDANG
70,89,60,11,25,18,SEDANG
51,66,59,18,25,39,SEDANG
52,66,59,15,18,34,SEDANG
51,70,59,13,22,25,SEDANG
50,63,59,14,21,29,SEDANG
60,86,60,12,25,26,SEDANG
60,91,60,16,30,36,SEDANG
71,100,60,11,31,25,SEDANG
60,77,60,20,21,49,SEDANG
55,70,59,16,23,36,SEDANG
52,59,60,15,16,39,SEDANG
61,81,61,13,14,38,SEDANG
64,96,61,10,15,22,SEDANG
76,118,62,14,21,27,TIDAK SEHAT
78,113,61,13,20,25,TIDAK SEHAT
100,132,62,24,17,52,TIDAK SEHAT
58,69,60,11,16,19,SEDANG
50,68,60,16,19,33,SEDANG
57,71,61,15,23,42,SEDANG
57,70,,12,19,29,SEDANG
43,54,60,11,19,25,SEDANG
44,58,60,13,20,27,SEDANG
41,49,60,11,15,20,SEDANG
36,52,60,12,11,25,SEDANG
54,63,62,13,16,35,SEDANG
50,59,61,16,13,41,SEDANG
30,44,59,13,11,25,SEDANG
38,53,60,12,11,25,SEDANG
26,39,59,10,11,21,SEDANG
52,77,64,12,26,59,SEDANG
58,84,65,13,24,71,SEDANG
46,65,63,16,18,81,SEDANG
40,60,63,15,26,77,SEDANG
50,73,64,11,26,67,SEDANG
35,55,64,10,23,60,SEDANG
58,80,65,13,25,79,SEDANG
59,83,64,12,31,58,SEDANG
51,79,64,11,28,64,SEDANG
41,63,64,13,22,67,SEDANG
46,62,64,15,19,66,SEDANG
30,51,63,13,19,82,SEDANG
54,73,65,16,16,85,SEDANG
74,102,68,16,16,92,TIDAK SEHAT
70,102,67,13,24,71,TIDAK SEHAT
67,87,65,14,22,64,SEDANG
73,88,65,24,23,99,SEDANG
50,57,64,11,19,64,SEDANG
40,56,65,12,17,69,SEDANG
35,51,66,11,26,72,SEDANG
44,60,65,11,22,66,SEDANG
49,61,65,10,18,58,SEDANG
48,64,65,14,16,78,SEDANG
48,55,65,11,13,68,SEDANG
30,50,65,11,14,73,SEDANG
40,60,65,10,17,71,SEDANG
50,63,65,13,13,77,SEDANG
21,10,67,6,13,26,SEDANG
35,10,67,7,10,34,SEDANG
58,59,54,23,36,28,SEDANG
66,68,54,23,32,23,SEDANG
45,52,53,32,28,28,SEDANG
48,51,53,27,35,28,SEDANG
56,55,54,23,35,25,SEDANG
43,49,53,22,29,24,SEDANG
53,61,54,24,33,21,SEDANG
60,86,14,27,26,43,SEDANG
60,83,15,28,18,47,SEDANG
58,77,16,24,22,34,SEDANG
63,92,11,27,26,33,SEDANG
61,86,12,26,31,37,SEDANG
53,71,13,24,35,40,SEDANG
69,94,15,30,33,48,SEDANG
59,70,14,26,32,44,SEDANG
55,73,13,25,36,40,SEDANG
65,82,14,26,39,37,SEDANG
61,82,14,36,20,34,SEDANG
51,82,12,23,28,32,SEDANG
64,94,14,28,32,51,SEDANG
57,84,12,24,40,38,SEDANG
52,78,10,23,34,35,SEDANG
52,73,9,26,40,45,SEDANG
57,76,8,26,29,40,SEDANG
54,78,19,23,34,31,SEDANG
60,83,10,26,37,36,SEDANG
59,75,11,28,29,41,SEDANG
62,86,11,27,36,44,SEDANG
59,78,11,28,29,45,SEDANG
63,85,59,12,28,22,SEDANG
67,89,59,12,30,26,SEDANG
69,96,59,12,25,26,SEDANG
63,82,59,10,29,18,SEDANG
62,82,59,15,23,38,SEDANG
56,75,59,13,28,23,SEDANG
77,107,60,16,25,35,TIDAK SEHAT
63,84,60,12,25,23,SEDANG
62,77,59,10,30,15,SEDANG
69,88,59,11,30,22,SEDANG
62,77,59,9,28,16,SEDANG
65,82,60,10,24,19,SEDANG
62,82,58,12,24,18,SEDANG
65,82,59,13,26,26,SEDANG
60,81,59,13,36,25,SEDANG
78,100,60,16,33,36,SEDANG
60,77,59,14,32,33,SEDANG
61,80,59,12,40,23,SEDANG
78,102,59,13,34,26,TIDAK SEHAT
59,71,59,12,23,21,SEDANG
51,70,59,12,27,22,SEDANG
85,106,60,14,34,32,TIDAK SEHAT
68,90,59,11,38,17,SEDANG
60,74,59,9,29,18,SEDANG
52,69,59,9,31,18,SEDANG
59,75,59,13,31,29,SEDANG
58,77,61,11,32,19,SEDANG
64,90,60,13,30,22,SEDANG
65,86,60,14,31,29,SEDANG
66,87,59,12,34,22,SEDANG
65,80,59,13,28,26,SEDANG
62,91,62,13,25,61,SEDANG
52,84,62,10,29,53,SEDANG
49,81,63,11,23,56,SEDANG
50,75,63,10,25,52,SEDANG
39,69,62,10,27,48,SEDANG
39,67,62,9,28,41,SEDANG
78,115,63,19,23,70,TIDAK SEHAT
46,72,63,8,28,47,SEDANG
53,78,62,9,29,43,SEDANG
45,73,62,8,30,46,SEDANG
52,79,63,15,27,68,SEDANG
54,83,64,12,26,59,SEDANG
58,86,63,12,27,52,SEDANG
77,108,63,17,29,63,TIDAK SEHAT
50,72,63,9,33,44,SEDANG
61,84,63,14,31,59,SEDANG
37,64,64,8,36,45,SEDANG
36,67,63,8,39,42,SEDANG
60,94,64,12,36,63,SEDANG
53,75,65,9,22,59,SEDANG
33,69,63,7,28,35,SEDANG
49,73,64,9,27,50,SEDANG
43,72,64,7,36,46,SEDANG
26,60,64,6,29,42,SEDANG
53,69,64,9,25,58,SEDANG
46,61,63,9,23,54,SEDANG
44,72,66,8,29,52,SEDANG
58,87,64,10,28,52,SEDANG
45,11,64,10,28,54,SEDANG
53,11,64,9,34,53,SEDANG
51,11,24,26,31,41,SEDANG
100,102,54,25,37,25,TIDAK SEHAT
67,,54,22,40,22,SEDANG
65,74,54,25,33,27,SEDANG
64,67,54,21,35,22,SEDANG
58,62,54,24,33,27,SEDANG
50,56,54,21,36,19,SEDANG
75,76,54,30,28,29,SEDANG
59,62,49,20,33,23,SEDANG
61,60,53,19,37,18,SEDANG
58,62,53,20,41,20,SEDANG
64,66,53,23,34,26,SEDANG
58,64,54,21,33,25,SEDANG
59,60,53,21,36,20,SEDANG
78,76,53,29,43,30,SEDANG
15,49,13,6,20,4,BAIK
11,54,21,5,42,4,SEDANG
11,54,26,4,50,5,SEDANG
7,25,11,3,55,,SEDANG
11,37,24,3,49,3,BAIK
10,43,18,3,52,5,SEDANG
15,54,3,12,38,13,SEDANG
15,53,16,10,26,14,SEDANG
16,66,28,7,28,15,SEDANG
17,74,25,13,25,13,SEDANG
16,64,22,10,24,9,SEDANG
17,62,34,8,21,9,SEDANG
10,54,24,3,13,8,SEDANG
8,32,22,3,20,7,BAIK
11,32,15,6,25,14,BAIK
8,24,13,4,28,8,BAIK
10,51,14,7,26,13,SEDANG
27,33,22,14,16,12,BAIK
26,38,23,15,14,,BAIK
33,41,22,13,11,5,BAIK
22,28,24,12,9,5,BAIK
33,32,24,16,9,,BAIK
31,40,22,14,10,,BAIK
36,53,22,15,11,,SEDANG
39,46,21,14,12,,BAIK
49,63,23,20,14,17,SEDANG
43,50,22,16,12,15,BAIK
46,58,22,20,12,21,SEDANG
41,55,24,15,12,11,SEDANG
46,59,25,14,12,15,SEDANG
49,61,26,13,14,12,SEDANG
34,50,21,11,14,11,BAIK
29,35,22,11,12,13,BAIK
32,65,67,7,9,40,SEDANG
19,52,67,6,9,33,SEDANG
19,31,67,4,12,15,SEDANG
30,45,67,7,10,22,SEDANG
17,26,67,3,12,13,SEDANG
26,47,68,4,11,17,SEDANG
66,103,69,27,12,98,TIDAK SEHAT
38,67,68,15,18,57,SEDANG
42,69,69,11,11,29,SEDANG
38,56,68,12,7,61,SEDANG
14,26,68,3,11,15,SEDANG
19,40,68,3,13,10,SEDANG
21,52,69,4,13,14,SEDANG
22,40,68,4,11,15,SEDANG
18,40,68,6,10,21,SEDANG
27,48,68,5,10,21,SEDANG
27,37,68,6,10,30,SEDANG
50,67,69,8,8,59,SEDANG
18,35,68,5,8,27,SEDANG
25,46,69,5,10,32,SEDANG
23,53,26,5,11,30,SEDANG
53,80,16,11,13,31,SEDANG
52,78,12,15,11,45,SEDANG
38,55,12,9,10,33,SEDANG
52,79,12,11,11,52,SEDANG
39,62,12,11,9,35,SEDANG
53,83,12,10,11,36,SEDANG
64,101,14,9,11,35,TIDAK SEHAT
51,21,13,10,13,35,SEDANG
35,10,13,5,12,13,BAIK
29,11,6,13,10,18,BAIK
,28,54,18,13,10,SEDANG
,19,53,17,13,10,SEDANG
,15,53,15,17,11,SEDANG
,20,53,17,14,15,SEDANG
,17,53,15,18,12,SEDANG
,22,53,16,16,13,SEDANG
,77,54,45,19,33,SEDANG
,54,54,29,28,22,SEDANG
,37,54,22,17,23,SEDANG
,29,54,31,9,19,SEDANG
,16,54,15,14,13,SEDANG
,19,54,14,17,10,SEDANG
,22,54,14,19,12,SEDANG
15,18,54,15,14,11,SEDANG
26,21,54,18,15,14,SEDANG
22,19,54,18,14,15,SEDANG
26,21,54,18,17,15,SEDANG
35,29,54,18,12,11,SEDANG
24,22,54,16,13,10,SEDANG
26,20,54,18,17,14,SEDANG
34,20,22,17,14,16,BAIK
48,35,22,22,19,22,BAIK
50,30,21,25,18,24,BAIK
38,22,21,23,15,21,BAIK
39,27,21,14,15,12,BAIK
42,26,21,14,14,10,BAIK
44,29,21,11,17,14,BAIK
50,33,23,9,20,13,BAIK
53,37,23,12,19,14,SEDANG
39,19,22,7,22,11,BAIK
27,15,21,6,18,8,BAIK
,26,39,15,16,4,BAIK
,22,39,15,19,3,BAIK
,18,39,14,21,3,BAIK
,23,42,15,22,6,BAIK
,22,41,15,28,5,BAIK
,31,45,16,27,8,BAIK
,67,44,41,33,15,SEDANG
,48,40,24,41,12,BAIK
,50,43,19,39,12,BAIK
,43,40,21,24,8,BAIK
,33,42,15,26,4,BAIK
,25,42,15,21,4,BAIK
,36,45,15,17,6,BAIK
,31,42,15,20,4,BAIK
,34,44,16,22,5,BAIK
,35,42,16,30,6,BAIK
,37,42,16,34,7,BAIK
,29,18,15,29,5,BAIK
,20,51,4,29,5,SEDANG
,36,15,7,31,6,BAIK
,38,17,6,35,8,BAIK
,38,14,7,41,12,BAIK
,35,3,8,43,12,BAIK
,51,10,11,39,12,SEDANG
,43,9,7,33,9,BAIK
,51,7,10,24,11,SEDANG
,55,27,9,30,12,SEDANG
,40,26,6,30,12,BAIK
,51,32,8,28,11,SEDANG
,34,9,5,38,8,BAIK
,26,9,3,26,3,BAIK
46,63,12,22,10,16,SEDANG
30,38,12,21,11,18,BAIK
43,57,14,23,11,24,SEDANG
37,61,15,22,9,17,SEDANG
26,56,10,20,8,11,SEDANG
47,58,14,28,9,21,SEDANG
33,46,13,24,7,19,BAIK
30,46,12,24,7,19,BAIK
20,26,9,23,7,19,BAIK
39,58,,19,12,25,SEDANG
41,56,,10,18,27,SEDANG
45,58,19,13,13,25,SEDANG
28,37,12,11,9,18,BAIK
32,54,51,15,6,13,SEDANG
34,51,62,15,8,23,SEDANG
40,57,62,15,6,25,SEDANG
33,55,,14,7,25,SEDANG
24,34,29,11,10,21,BAIK
29,50,34,12,10,20,BAIK
25,39,30,10,11,22,BAIK
32,52,23,19,7,31,SEDANG
31,51,28,17,7,29,SEDANG
38,59,26,16,11,33,SEDANG
52,73,25,22,10,38,SEDANG
39,55,24,19,8,24,SEDANG
42,59,32,16,7,28,SEDANG
35,50,26,10,7,19,BAIK
31,36,23,9,6,17,BAIK
25,32,19,10,8,25,BAIK
25,30,18,9,17,21,BAIK
37,51,21,12,16,31,SEDANG
48,60,25,13,12,13,SEDANG
29,38,23,11,12,12,BAIK
51,60,26,13,12,16,SEDANG
37,48,24,10,11,14,BAIK
29,51,22,11,10,16,SEDANG
56,71,25,18,11,36,SEDANG
32,37,24,12,11,17,BAIK
29,36,24,11,10,19,BAIK
22,23,21,11,12,17,BAIK
47,56,23,16,14,15,SEDANG
39,55,22,11,19,8,SEDANG
44,55,24,11,14,10,SEDANG
26,33,22,11,12,12,BAIK
28,32,23,11,10,15,BAIK
30,43,24,13,11,26,BAIK
36,48,25,10,10,17,BAIK
32,47,25,9,11,12,BAIK
24,35,21,10,12,13,BAIK
33,39,24,10,11,17,BAIK
26,37,26,10,12,12,BAIK
39,53,21,17,9,23,SEDANG
36,52,24,14,9,22,SEDANG
35,46,21,8,13,11,BAIK
52,68,26,14,11,20,SEDANG
47,57,24,15,11,35,SEDANG
47,57,24,12,10,19,SEDANG
29,49,22,7,9,14,BAIK
33,36,22,7,9,13,BAIK
27,30,21,8,12,12,BAIK
,26,20,6,20,11,BAIK
51,41,20,8,16,10,SEDANG
49,73,,8,10,27,SEDANG
28,60,,6,11,22,SEDANG
38,69,,8,13,35,SEDANG
34,62,13,5,10,23,SEDANG
41,68,13,7,9,35,SEDANG
51,79,16,13,13,46,SEDANG
51,71,13,8,10,38,SEDANG
31,54,13,5,12,19,SEDANG
20,51,14,8,13,26,SEDANG
53,77,19,15,16,43,SEDANG
29,63,11,8,23,9,SEDANG
37,64,9,8,13,11,SEDANG
36,59,8,8,10,18,SEDANG
28,52,14,6,10,10,SEDANG
35,56,11,9,10,33,SEDANG
34,60,11,6,10,19,SEDANG
33,59,14,7,11,16,SEDANG
21,40,12,7,11,9,BAIK
19,40,12,6,11,17,BAIK
23,41,13,7,12,12,BAIK
40,58,13,14,11,56,SEDANG
33,51,14,13,8,48,SEDANG
57,90,23,20,13,81,SEDANG
51,75,22,14,11,59,SEDANG
31,57,20,11,9,51,SEDANG
42,63,23,14,8,63,SEDANG
26,54,20,6,9,18,SEDANG
23,46,23,5,9,,BAIK
25,40,24,10,9,27,BAIK
23,38,22,8,17,,BAIK
32,55,23,10,18,16,SEDANG
46,30,23,9,19,9,BAIK
31,23,23,8,20,11,BAIK
55,51,23,12,19,13,SEDANG
45,27,24,7,17,11,BAIK
35,28,23,9,12,8,BAIK
55,43,22,18,21,11,SEDANG
37,25,10,12,14,8,BAIK
27,21,10,8,15,9,BAIK
26,16,10,10,14,13,BAIK
50,33,12,19,22,17,BAIK
45,23,12,10,30,17,BAIK
48,21,11,11,19,11,BAIK
30,22,11,10,12,12,BAIK
26,14,13,8,14,11,BAIK
32,23,12,10,14,9,BAIK
34,23,13,8,16,10,BAIK
33,20,14,8,15,11,BAIK
22,14,11,8,15,9,BAIK
27,16,12,8,17,9,BAIK
27,16,12,10,18,9,BAIK
39,22,12,14,15,11,BAIK
31,14,12,16,11,10,BAIK
52,35,15,18,18,14,SEDANG
54,30,12,13,17,12,SEDANG
46,33,14,15,15,11,BAIK
49,27,13,17,12,9,BAIK
26,20,12,7,14,8,BAIK
27,18,13,6,12,7,BAIK
27,12,11,10,13,10,BAIK
50,52,12,9,22,10,SEDANG
33,14,12,9,26,13,BAIK
,48,12,6,26,7,BAIK
,26,13,4,28,4,BAIK
,46,22,8,26,8,BAIK
,33,25,4,28,8,BAIK
,26,4,4,16,,BAIK
,46,15,8,17,,BAIK
9,43,21,4,20,4,BAIK
10,35,12,4,22,5,BAIK
14,29,3,6,31,7,BAIK
20,74,12,13,29,15,SEDANG
19,60,10,6,36,10,SEDANG
14,56,14,5,25,9,SEDANG
10,35,8,5,21,5,BAIK
12,33,17,5,24,6,BAIK
41,51,19,10,14,27,SEDANG
41,47,18,9,15,20,BAIK
38,45,19,9,16,24,BAIK
54,73,26,17,11,40,SEDANG
40,47,27,13,10,26,BAIK
41,53,37,14,11,31,SEDANG
35,50,30,13,11,29,BAIK
33,48,31,12,10,34,BAIK
38,52,33,12,11,25,SEDANG
31,38,29,11,13,26,BAIK
36,51,29,13,12,35,SEDANG
54,74,37,16,16,43,SEDANG
56,74,35,18,9,39,SEDANG
44,68,35,13,9,30,SEDANG
34,54,33,12,7,19,SEDANG
42,67,36,18,10,26,SEDANG
44,,33,16,6,,BAIK
48,,,,,,BAIK
53,73,32,28,6,26,SEDANG
42,50,31,11,10,22,BAIK
51,72,40,20,9,30,SEDANG
50,63,33,22,9,31,SEDANG
56,70,48,21,8,30,SEDANG
42,55,28,15,14,28,SEDANG
47,66,38,19,5,31,SEDANG
45,57,30,17,7,30,SEDANG
54,85,36,26,12,50,SEDANG
44,57,33,13,10,23,SEDANG
51,33,20,6,17,7,SEDANG
38,35,20,5,19,9,BAIK
39,37,20,5,21,10,BAIK
52,61,21,7,16,10,SEDANG
42,42,23,7,11,14,BAIK
40,51,21,4,14,11,SEDANG
35,44,21,6,15,15,BAIK
42,50,21,6,14,9,BAIK
34,33,22,4,15,9,BAIK
36,35,21,3,15,10,BAIK
34,37,22,4,15,11,BAIK
53,71,30,5,19,7,SEDANG
65,79,31,4,20,13,SEDANG
56,70,31,2,17,11,SEDANG
37,51,29,,9,17,SEDANG
39,56,29,,8,21,SEDANG
49,69,31,29,7,50,SEDANG
,67,31,29,8,29,SEDANG
55,38,18,10,24,15,SEDANG
36,49,29,14,10,15,BAIK
25,29,28,15,12,12,BAIK
32,52,29,15,13,9,SEDANG
37,53,29,13,16,8,SEDANG
37,50,28,13,17,8,BAIK
39,53,28,14,18,9,SEDANG
46,56,28,21,13,15,SEDANG
39,47,28,15,15,9,BAIK
35,39,28,16,11,13,BAIK
51,61,28,20,13,16,SEDANG
54,60,28,16,15,12,SEDANG
37,49,28,16,12,13,BAIK
20,21,28,12,12,12,BAIK
26,30,28,13,12,13,BAIK
22,25,28,12,12,12,BAIK
26,58,58,11,20,24,SEDANG
57,94,59,18,26,26,SEDANG
24,53,59,10,24,14,SEDANG
19,46,,,,,BAIK
39,65,60,13,22,37,SEDANG
59,99,60,19,23,59,SEDANG
29,52,58,7,16,10,SEDANG
42,72,60,9,17,25,SEDANG
35,58,,,,,SEDANG
42,67,,,,,SEDANG
59,87,,,,,SEDANG
40,64,59,16,22,46,SEDANG
50,86,63,12,22,35,SEDANG
40,63,58,11,12,32,SEDANG
42,65,59,6,8,20,SEDANG
32,53,58,8,8,,SEDANG
39,70,57,11,7,37,SEDANG
20,40,55,7,13,21,SEDANG
23,39,17,6,17,15,BAIK
35,56,26,7,15,35,SEDANG
42,66,21,11,15,38,SEDANG
56,87,19,11,13,27,SEDANG
52,73,20,12,11,36,SEDANG
43,65,21,12,15,24,SEDANG
39,62,19,18,10,56,SEDANG
56,84,21,16,15,34,SEDANG
56,92,21,25,11,93,SEDANG
33,53,19,13,8,29,SEDANG
17,26,18,4,10,9,BAIK
31,28,18,8,8,36,BAIK
24,30,7,12,11,14,BAIK
48,25,16,11,32,18,BAIK
54,,16,14,32,20,SEDANG
37,32,15,10,30,16,BAIK
26,25,15,8,19,19,BAIK
26,41,29,13,11,15,BAIK
,63,32,17,15,8,SEDANG
,56,32,19,12,15,SEDANG
,63,32,19,10,15,SEDANG
,43,30,15,19,8,BAIK
31,51,40,16,17,21,SEDANG
54,61,35,19,9,18,SEDANG
64,83,31,22,11,24,SEDANG
41,59,28,20,11,10,SEDANG
33,57,25,9,19,14,SEDANG
41,68,24,13,17,21,SEDANG
41,64,27,13,17,21,SEDANG
54,84,35,15,16,45,SEDANG
31,44,33,5,14,9,BAIK
25,50,36,6,15,7,BAIK
31,58,37,12,18,40,SEDANG
35,56,41,10,16,18,SEDANG
45,60,44,12,15,25,SEDANG
49,69,44,13,16,27,SEDANG
46,66,44,12,19,21,SEDANG
57,85,48,14,19,28,SEDANG
53,78,50,12,14,39,SEDANG
47,71,51,9,12,42,SEDANG
35,60,49,7,10,25,SEDANG
61,92,,,,,SEDANG
53,75,52,13,7,52,SEDANG
45,68,,,,,SEDANG
59,82,,,,,SEDANG
32,56,50,9,11,28,SEDANG
45,64,55,9,14,20,SEDANG
40,70,54,8,9,20,SEDANG
46,67,59,12,12,42,SEDANG
45,70,52,18,19,40,SEDANG
41,67,53,14,11,47,SEDANG
46,65,57,11,11,51,SEDANG
63,94,57,20,16,45,SEDANG
34,61,61,11,25,20,SEDANG
39,15,12,9,24,13,BAIK
41,14,12,10,23,12,BAIK
52,21,13,13,24,14,SEDANG
52,30,14,16,22,20,SEDANG
35,14,13,9,16,14,BAIK
31,16,13,8,19,14,BAIK
40,19,13,12,21,20,BAIK
44,23,13,11,20,19,BAIK
,19,14,15,19,17,BAIK
34,18,,,,,BAIK
42,22,13,12,23,19,BAIK
58,32,14,17,21,23,SEDANG
72,52,15,14,19,15,SEDANG
56,39,16,11,19,23,SEDANG
43,23,14,9,12,8,BAIK
54,35,15,18,15,21,SEDANG
77,60,14,24,14,12,SEDANG
33,35,15,11,20,14,BAIK
46,39,17,10,23,18,BAIK
37,33,16,10,18,12,BAIK
42,36,17,15,17,15,BAIK
36,43,15,15,32,22,BAIK
44,50,15,18,8,10,BAIK
49,30,15,14,17,21,BAIK
82,55,15,23,24,23,SEDANG
49,36,16,14,28,20,BAIK
12,50,15,5,31,12,BAIK
13,41,13,5,44,8,BAIK
11,50,13,5,46,10,BAIK
19,83,22,10,33,13,SEDANG
19,40,24,5,27,10,BAIK
15,51,22,6,28,10,SEDANG
11,36,14,7,34,9,BAIK
24,41,17,7,29,13,BAIK
12,41,19,6,30,10,BAIK
51,50,15,7,33,10,SEDANG
52,47,15,7,38,9,SEDANG
18,78,26,9,34,13,SEDANG
19,77,25,10,28,10,SEDANG
11,59,23,5,14,5,SEDANG
10,53,21,4,17,5,SEDANG
17,64,27,7,21,7,SEDANG
14,59,24,11,24,5,SEDANG
14,69,30,15,21,7,SEDANG
24,92,24,18,23,6,SEDANG
16,51,31,8,20,6,SEDANG
14,,,,,,BAIK
17,59,48,7,15,5,SEDANG
35,78,42,13,16,5,SEDANG
14,66,18,11,35,5,SEDANG
18,75,28,13,25,4,SEDANG
16,60,29,10,24,6,SEDANG
29,111,24,21,34,8,TIDAK SEHAT
20,71,24,9,31,6,SEDANG
59,55,16,16,32,16,SEDANG
32,25,15,7,22,12,BAIK
52,54,18,11,28,18,SEDANG
53,44,16,15,21,18,SEDANG
48,40,,,,,BAIK
,68,,,,,SEDANG
46,50,20,9,29,19,BAIK
54,55,21,11,25,22,SEDANG
52,43,17,9,18,12,SEDANG
29,31,16,6,11,6,BAIK
28,26,16,8,10,7,BAIK
26,20,16,8,19,15,BAIK
24,24,16,8,22,16,BAIK
38,36,21,9,25,18,BAIK
36,31,17,11,23,18,BAIK
47,51,18,13,27,21,SEDANG
42,37,18,12,17,16,BAIK
41,36,17,12,20,16,BAIK
37,33,16,18,14,12,BAIK
53,44,17,19,20,16,SEDANG
71,54,17,20,18,15,SEDANG
45,33,17,13,14,15,BAIK
18,19,16,6,13,8,BAIK
26,28,16,9,12,8,BAIK
23,24,17,7,14,5,BAIK
10,59,17,9,28,6,SEDANG
25,92,21,11,39,5,SEDANG
12,54,16,7,42,4,SEDANG
,52,21,6,38,6,SEDANG
18,63,25,10,36,6,SEDANG
30,90,25,11,39,4,SEDANG
15,28,17,2,24,2,BAIK
12,61,19,4,29,2,SEDANG
27,75,20,12,30,4,SEDANG
10,77,16,15,29,4,SEDANG
9,100,23,19,27,5,SEDANG
5,54,47,3,28,4,SEDANG
8,73,53,4,35,4,SEDANG
,58,22,4,23,2,SEDANG
21,25,17,2,19,1,BAIK
27,47,16,4,13,1,BAIK
20,63,30,8,16,2,SEDANG
16,21,16,4,28,11,BAIK
27,38,19,6,24,11,BAIK
27,55,37,5,34,11,SEDANG
23,58,19,6,27,12,SEDANG
22,72,28,8,38,12,SEDANG
39,64,27,12,38,10,SEDANG
24,60,25,7,34,11,SEDANG
33,59,24,7,29,11,SEDANG
25,77,19,10,44,11,SEDANG
23,73,21,12,39,10,SEDANG
16,52,17,7,32,11,SEDANG
10,20,19,3,24,10,BAIK
12,52,26,5,21,12,SEDANG
13,37,35,3,23,13,BAIK
36,59,29,16,11,33,SEDANG
51,69,28,14,18,28,SEDANG
35,55,27,14,15,30,SEDANG
29,53,28,13,16,31,SEDANG
43,61,32,15,10,37,SEDANG
54,81,32,20,16,42,SEDANG
25,34,28,8,14,15,BAIK
44,72,31,15,18,27,SEDANG
47,70,29,15,17,34,SEDANG
43,64,27,17,11,34,SEDANG
56,,,,,,SEDANG
39,62,42,15,13,37,SEDANG
49,71,37,15,12,38,SEDANG
43,59,31,12,10,23,SEDANG
27,47,29,10,9,14,BAIK
26,44,28,10,9,13,BAIK
37,57,33,13,6,20,SEDANG
18,40,27,11,13,22,BAIK
30,54,31,12,13,31,SEDANG
59,60,36,12,16,31,SEDANG
36,57,29,11,15,25,SEDANG
45,66,30,13,15,29,SEDANG
50,63,29,20,10,26,SEDANG
38,60,29,13,13,23,SEDANG
36,,28,15,8,22,BAIK
42,64,27,17,10,28,SEDANG
50,71,26,18,7,26,SEDANG
32,47,27,10,8,19,BAIK
17,33,26,6,11,11,BAIK
22,37,28,8,11,11,BAIK
24,40,30,7,11,8,BAIK
49,73,,,,,SEDANG
51,68,30,16,25,7,SEDANG
43,56,29,17,16,10,SEDANG
32,51,30,15,18,7,SEDANG
52,63,37,16,17,15,SEDANG
60,83,31,20,20,15,SEDANG
31,34,28,13,15,12,BAIK
51,67,31,17,22,8,SEDANG
59,75,34,23,15,11,SEDANG
51,69,31,22,15,15,SEDANG
37,56,31,14,13,10,SEDANG
48,58,31,14,13,11,SEDANG
51,62,30,16,12,13,SEDANG
26,37,28,14,11,14,BAIK
31,47,,,,,BAIK
